lambda,estimate,std.error,conf.high,conf.low,nzero,protein
0.0717049663842174,0.0480908856674093,6.36110961989594e-05,0.0481544967636083,0.0480272745712104,0,Pho4
0.0653348947978121,0.0472248456175427,6.39507715515999e-05,0.0472887963890943,0.0471608948459911,2,Pho4
0.05953072281449,0.0463556388102164,6.47452364672808e-05,0.0464203840466837,0.0462908935737491,2,Pho4
0.0542421774731979,0.0456336850131756,6.54497112754523e-05,0.045699134724451,0.0455682353019001,2,Pho4
0.0494234519241845,0.0450319936750525,6.56714293798714e-05,0.0450976651044323,0.0449663222456726,2,Pho4
0.0450328086719814,0.0436817415235757,6.64079788879578e-05,0.0437481495024637,0.0436153335446878,5,Pho4
0.041032218065184,0.0423413949548604,6.67980437767604e-05,0.0424081929986371,0.0422745969110836,5,Pho4
0.0373870289018049,0.0412262936316653,6.71981802531107e-05,0.0412934918119184,0.0411590954514122,5,Pho4
0.034065668297138,0.0403002002609999,6.75407953220497e-05,0.0403677410563219,0.0402326594656778,5,Pho4
0.0310393682145363,0.0394225286196318,6.80595696014569e-05,0.0394905881892332,0.0393544690500303,7,Pho4
0.0282819162904404,0.0386471134798527,6.86637018159273e-05,0.0387157771816686,0.0385784497780368,8,Pho4
0.0257694287954252,0.0378822803264261,6.88219916054769e-05,0.0379511023180316,0.0378134583348207,10,Pho4
0.0234801437647615,0.0371737100492726,6.92120896970216e-05,0.0372429221389696,0.0371044979595756,11,Pho4
0.021394232506688,0.0364333967453147,6.91342430387999e-05,0.0365025309883535,0.0363642625022759,16,Pho4
0.0194936278557694,0.035722680247675,6.79176287677463e-05,0.0357905978764428,0.0356547626189073,17,Pho4
0.0177618676837525,0.035098822689346,6.70606601256748e-05,0.0351658833494717,0.0350317620292203,17,Pho4
0.0161839523124866,0.0345822665646311,6.63071252764242e-05,0.0346485736899075,0.0345159594393546,17,Pho4
0.0147462145938869,0.0341508450038576,6.56643620066949e-05,0.0342165093658642,0.0340851806418509,18,Pho4
0.0134362015316365,0.0337895520944327,6.51563893503023e-05,0.033854708483783,0.0337243957050824,19,Pho4
0.0122425664192891,0.0334828983616472,6.48412205567405e-05,0.033547739582204,0.0334180571410905,20,Pho4
0.0111549705605263,0.0332126759887677,6.43763565076982e-05,0.0332770523452754,0.03314829963226,23,Pho4
0.0101639937203163,0.0329513156671172,6.39039840168475e-05,0.033015219651134,0.0328874116831004,28,Pho4
0.00926105253134395,0.03269873514982,6.35901659658285e-05,0.0327623253157858,0.0326351449838542,32,Pho4
0.00843832614898968,0.0324740220779684,6.33059247614861e-05,0.0325373280027299,0.032410716153207,36,Pho4
0.00768868851091484,0.0322780912106243,6.30307180746963e-05,0.032341121928699,0.0322150604925496,37,Pho4
0.00700564661451867,0.0321145574593902,6.27752065615345e-05,0.0321773326659517,0.0320517822528286,42,Pho4
0.00638328427765597,0.0319678258766337,6.26929040442114e-05,0.0320305187806779,0.0319051329725894,48,Pho4
0.00581621089549769,0.0318141392163306,6.24488985362758e-05,0.0318765881148668,0.0317516903177943,56,Pho4
0.00529951474969061,0.0316710815652255,6.21903688691723e-05,0.0317332719340947,0.0316088911963563,62,Pho4
0.00482872046540278,0.0315472722839381,6.2000149015326e-05,0.0316092724329534,0.0314852721349228,63,Pho4
0.00439975024776767,0.0314434531866241,6.183499380106e-05,0.0315052881804252,0.031381618192823,66,Pho4
0.0040088885619758,0.0313539137895752,6.17118385797748e-05,0.031415625628155,0.0312922019509955,73,Pho4
0.00365274995108973,0.031274438785158,6.16152946070113e-05,0.031336054079765,0.031212823490551,76,Pho4
0.00332824971283563,0.0312052875261372,6.14539746304795e-05,0.0312667415007677,0.0311438335515067,81,Pho4
0.0030325771813879,0.0311431605792319,6.12887080833165e-05,0.0312044492873152,0.0310818718711486,89,Pho4
0.00276317138272634,0.0310849276144221,6.1248534236027e-05,0.0311461761486581,0.0310236790801861,101,Pho4
0.00251769885270438,0.031032265054676,6.11233933278256e-05,0.0310933884480039,0.0309711416613482,106,Pho4
0.00229403342569893,0.030985320284964,6.11615208077872e-05,0.0310464818057718,0.0309241587641562,113,Pho4
0.00209023781878089,0.0309441105052158,6.12707673762164e-05,0.031005381272592,0.0308828397378395,122,Pho4
0.00190454685189723,0.0309073147219484,6.14352114544542e-05,0.0309687499334028,0.0308458795104939,128,Pho4
0.00173535215872576,0.0308729530189536,6.16060413574673e-05,0.030934559060311,0.0308113469775961,138,Pho4
0.00158118825577552,0.0308389743360805,6.19313761013651e-05,0.0309009057121819,0.0307770429599792,148,Pho4
0.00144071984906987,0.0308068987850771,6.20112999095919e-05,0.0308689100849867,0.0307448874851676,155,Pho4
0.00131273026846879,0.0307786230861197,6.21377198380934e-05,0.0308407608059578,0.0307164853662816,164,Pho4
0.00119611092945425,0.0307527265491991,6.22241114748023e-05,0.0308149506606739,0.0306905024377243,177,Pho4
0.0010898517311014,0.0307278318509175,6.23167695781514e-05,0.0307901486204957,0.0306655150813394,192,Pho4
0.000993032307067586,0.0307055370552074,6.22644996852105e-05,0.0307678015548926,0.0306432725555222,197,Pho4
0.000904814053819424,0.0306851640300678,6.230665391083e-05,0.0307474706839787,0.030622857376157,207,Pho4
0.000824432867050135,0.0306676428553777,6.22837126440743e-05,0.0307299265680218,0.0306053591427336,218,Pho4
0.000751192523373596,0.0306519239515473,6.22589414344078e-05,0.0307141828929817,0.0305896650101129,228,Pho4
0.000684458649970435,0.0306377683321758,6.23343673043502e-05,0.0307001026994801,0.0305754339648714,238,Pho4
0.000623653229954148,0.0306252403094664,6.23487932402353e-05,0.0306875891027066,0.0305628915162261,248,Pho4
0.000568249595865349,0.0306142188817397,6.23447795825461e-05,0.0306765636613223,0.0305518741021572,258,Pho4
0.000517767867930184,0.0306046185016006,6.23611513499368e-05,0.0306669796529506,0.0305422573502507,269,Pho4
0.000471770797571307,0.0305961676411038,6.24263253716599e-05,0.0306585939664754,0.0305337413157321,279,Pho4
0.000429859980169875,0.0305888055112119,6.23760313192314e-05,0.0306511815425311,0.0305264294798926,285,Pho4
0.000391672404275333,0.0305824852221602,6.24041274671825e-05,0.0306448893496274,0.030520081094693,297,Pho4
0.000356877307373892,0.0305770459334892,6.24297388255061e-05,0.0306394756723148,0.0305146161946637,309,Pho4
0.00032517331098187,0.0305723770071869,6.25052712641019e-05,0.030634882278451,0.0305098717359228,322,Pho4
0.00029628581024944,0.0305685171727624,6.25087470088272e-05,0.0306310259197712,0.0305060084257536,332,Pho4
0.000269964595464791,0.0305651679719513,6.25124513619486e-05,0.0306276804233132,0.0305026555205893,339,Pho4
0.000245981684857302,0.030562374505579,6.25214826587185e-05,0.0306248959882377,0.0304998530229203,348,Pho4
0.000224129349928511,0.0305600892346717,6.25138641302752e-05,0.0306226030988019,0.0304975753705414,366,Pho4
0.000204218316207235,0.0305581892687548,6.25143557798814e-05,0.0306207036245347,0.0304956749129749,386,Pho4
0.000186076123844649,0.0305565190641465,6.25104018733988e-05,0.0306190294660199,0.0304940086622731,394,Pho4
0.000169545633849577,0.030555107857078,6.25072843662411e-05,0.0306176151414442,0.0304926005727117,408,Pho4
0.000154483667025728,0.0305539327376886,6.25037890641622e-05,0.0306164365267528,0.0304914289486244,413,Pho4
0.00014075976382199,0.0305529513726338,6.25011148383786e-05,0.0306154524874722,0.0304904502577954,419,Pho4
0.00012825505435421,0.0305521405581572,6.24940945784895e-05,0.0306146346527357,0.0304896464635788,431,Pho4
0.000116861228811124,0.0305514667242343,6.24865633637777e-05,0.0306139532875981,0.0304889801608705,433,Pho4
0.000106479599326586,0.0305509153880064,6.24773915632444e-05,0.0306133927795697,0.0304884379964432,440,Pho4
